No,Level,Date,Time,Text
65,DEBUG,8:51:11 AM,22 March 2020,"...mailslot_create: creating mailslot for RSVP client API"
66,DEBUG,8:51:11 AM,22 March 2020,"..mailbox_register: mailbox allocated for rsvp-api"
67,DEBUG,8:51:11 AM,22 March 2020,"..mailslot_create: creating mailslot for terminate"
68,INFO,8:51:11 AM,22 March 2020,".mailbox_register: mailbox allocated for terminate"
69,INFO,8:51:11 AM,22 March 2020,"..mailslot_create: creating mailslot for dump"
70,INFO,8:51:11 AM,22 March 2020,".mailbox_register: mailbox allocated for dump"
71,INFO,8:51:11 AM,22 March 2020,"..mailslot_create: creating mailslot for (broken) pipe"
72,INFO,8:51:11 AM,22 March 2020,".mailbox_register: mailbox allocated for pipe"
73,INFO,8:51:11 AM,22 March 2020,"main: rsvpd initialization complete"
74,INFO,8:52:50 AM,22 March 2020,".....rsvp_api_open: accepted a new connection for rapi"
75,INFO,8:52:50 AM,22 March 2020,"......mailbox_register: mailbox allocated for mailbox"
76,TRACE,8:52:50 AM,22 March 2020,".....rsvp_event_mapSession: Session=9.67.116.99:1047:6 does not exist"
77,EVENT,8:52:50 AM,22 March 2020,"....api_reader: api request SESSION"
78,TRACE,8:52:50 AM,22 March 2020,".....rsvp_event_establishSession: local node will send"
79,INFO,8:52:50 AM,22 March 2020,".......router_forward_getOI: Ioctl to get route entry successful"
80,TRACE,8:52:50 AM,22 March 2020,".......router_forward_getOI:         source address:   9.67.116.98"
81,TRACE,8:52:50 AM,22 March 2020,".......router_forward_getOI:         out inf:   9.67.116.98"
82,TRACE,8:52:50 AM,22 March 2020,".......router_forward_getOI:         gateway:   0.0.0.0"
83,TRACE,8:52:50 AM,22 March 2020,".......router_forward_getOI:         route handle:   7f5251c8"
84,TRACE,8:52:50 AM,22 March 2020,"......event_establishSessionSend: found outgoing if=9.67.116.98 through"
85,TRACE,8:52:50 AM,23 March 2020,".....rsvp_event_mapSession: Session=9.67.116.99:1047:6 exists"
86,EVENT,8:52:50 AM,23 March 2020,"....api_reader: api request SENDER"
87,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: papi_debug:  Entering"
88,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: papi_debug:  papiLogFunc = 98681F0 papiUserValue = 0"
89,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: papi_debug:  Exiting"
90,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: APIInitialize:  Entering"
91,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: open_socket:  Entering"
92,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: open_socket:  Exiting"
93,DEBUG,8:52:50 AM,23 March 2020,"......init_policyAPI: APIInitialize:  ApiHandle = 98BDFB0,  connfd = 22"
94,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: APIInitialize:  Exiting"
95,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: RegisterWithPolicyAPI:  Entering"
96,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: RegisterWithPolicyAPI:  Writing to socket = 22"
97,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: ReadBuffer:  Entering"
98,DEBUG,8:52:51 AM,23 March 2020,"......init_policyAPI: ReadBuffer:  Exiting"
99,INFO,8:52:51 AM,23 March 2020,"......init_policyAPI: RegisterWithPolicyAPI:  Exiting"
100,INFO,8:52:51 AM,23 March 2020,"......init_policyAPI: Policy API initialized"
101,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindActionName:  Entering"
102,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: ReadBuffer:  Entering"
103,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: ReadBuffer:  Exiting"
104,DEBUG,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindActionName:  Result = 0"
105,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindActionName:  Exiting"
106,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: found action name CLCat2 for"
107,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Entering"
108,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: ReadBuffer:  Entering"
109,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: ReadBuffer:  Exiting"
