No,Level,Date,Time,Text
65,INFO,8:51:11 AM,22 March 2020,"...mailbox_register: no mailbox necessary for traffic-control"
66,DEBUG,8:51:11 AM,22 March 2020,"...mailslot_create: creating mailslot for RSVP client API"
67,DEBUG,8:51:11 AM,22 March 2020,"..mailbox_register: mailbox allocated for rsvp-api"
68,DEBUG,8:51:11 AM,22 March 2020,"..mailslot_create: creating mailslot for terminate"
69,INFO,8:51:11 AM,22 March 2020,".mailbox_register: mailbox allocated for terminate"
70,INFO,8:51:11 AM,22 March 2020,"..mailslot_create: creating mailslot for dump"
71,INFO,8:51:11 AM,22 March 2020,".mailbox_register: mailbox allocated for dump"
72,INFO,8:51:11 AM,22 March 2020,"..mailslot_create: creating mailslot for (broken) pipe"
73,INFO,8:51:11 AM,22 March 2020,".mailbox_register: mailbox allocated for pipe"
74,INFO,8:51:11 AM,22 March 2020,"main: rsvpd initialization complete"
75,INFO,8:52:50 AM,22 March 2020,".....rsvp_api_open: accepted a new connection for rapi"
76,INFO,8:52:50 AM,22 March 2020,"......mailbox_register: mailbox allocated for mailbox"
77,TRACE,8:52:50 AM,22 March 2020,".....rsvp_event_mapSession: Session=9.67.116.99:1047:6 does not exist"
78,EVENT,8:52:50 AM,22 March 2020,"....api_reader: api request SESSION"
79,TRACE,8:52:50 AM,22 March 2020,".....rsvp_event_establishSession: local node will send"
80,INFO,8:52:50 AM,22 March 2020,".......router_forward_getOI: Ioctl to get route entry successful"
81,TRACE,8:52:50 AM,22 March 2020,".......router_forward_getOI:         source address:   9.67.116.98"
82,TRACE,8:52:50 AM,22 March 2020,".......router_forward_getOI:         out inf:   9.67.116.98"
83,TRACE,8:52:50 AM,22 March 2020,".......router_forward_getOI:         gateway:   0.0.0.0"
84,TRACE,8:52:50 AM,22 March 2020,".......router_forward_getOI:         route handle:   7f5251c8"
85,TRACE,8:52:50 AM,22 March 2020,"......event_establishSessionSend: found outgoing if=9.67.116.98 through"
86,TRACE,8:52:50 AM,23 March 2020,".....rsvp_event_mapSession: Session=9.67.116.99:1047:6 exists"
87,EVENT,8:52:50 AM,23 March 2020,"....api_reader: api request SENDER"
88,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: papi_debug:  Entering"
89,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: papi_debug:  papiLogFunc = 98681F0 papiUserValue = 0"
90,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: papi_debug:  Exiting"
91,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: APIInitialize:  Entering"
92,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: open_socket:  Entering"
93,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: open_socket:  Exiting"
94,DEBUG,8:52:50 AM,23 March 2020,"......init_policyAPI: APIInitialize:  ApiHandle = 98BDFB0,  connfd = 22"
95,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: APIInitialize:  Exiting"
96,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: RegisterWithPolicyAPI:  Entering"
97,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: RegisterWithPolicyAPI:  Writing to socket = 22"
98,INFO,8:52:50 AM,23 March 2020,"......init_policyAPI: ReadBuffer:  Entering"
99,DEBUG,8:52:51 AM,23 March 2020,"......init_policyAPI: ReadBuffer:  Exiting"
100,INFO,8:52:51 AM,23 March 2020,"......init_policyAPI: RegisterWithPolicyAPI:  Exiting"
101,INFO,8:52:51 AM,23 March 2020,"......init_policyAPI: Policy API initialized"
102,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindActionName:  Entering"
103,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: ReadBuffer:  Entering"
104,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: ReadBuffer:  Exiting"
105,DEBUG,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindActionName:  Result = 0"
106,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindActionName:  Exiting"
107,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: found action name CLCat2 for"
108,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Entering"
109,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: ReadBuffer:  Entering"
110,INFO,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: ReadBuffer:  Exiting"
111,DEBUG,8:52:51 AM,23 March 2020,".....rpapi_getPolicyData: RSVPFindServiceDetailsOnActName:  Result = 0"
